Date,Day,C_Temp_max_C,C_Temp_min_C,T1_Temp_max_C,T1_Temp_min_C,T2_Temp_max_C,T2_Temp_min_C,T3_Temp_max_C,T3_Temp_min_C,T4_Temp_max_C,T4_Temp_min_C,T5_Temp_max_C,T5_Temp_min_C,T6_Temp_max_C,T6_Temp_min_C,T7_Temp_max_C,T7_Temp_min_C,T8_Temp_max_C,T8_Temp_min_C,T9_Temp_max_C,T9_Temp_min_C,T10_Temp_max_C,T10_Temp_min_C,T11_Temp_max_C,T11_Temp_min_C,T12_Temp_max_C,T12_Temp_min_C,T13_Temp_max_C,T13_Temp_min_C,T14_Temp_max_C,T14_Temp_min_C,T15_Temp_max_C,T15_Temp_min_C,T16_Temp_max_C,T16_Temp_min_C,T17_Temp_max_C,T17_Temp_min_C,T18_Temp_max_C,T18_Temp_min_C,T19_Temp_max_C,T19_Temp_min_C,T20_Temp_max_C,T20_Temp_min_C,T21_Temp_max_C,T21_Temp_min_C,T22_Temp_max_C,T22_Temp_min_C
2022-10-06,36,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111,16.66666667,6.111111111
2022-10-07,37,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222,23.88888889,7.222222222
2022-10-08,38,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444,22.22222222,4.444444444
2022-10-09,39,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111,13.33333333,1.111111111
2022-10-10,40,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111,15.55555556,1.111111111
2022-10-11,41,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333,19.44444444,3.333333333
2022-10-12,42,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333,21.66666667,3.333333333
2022-10-13,43,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333,20.55555556,3.333333333
2022-10-14,44,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444,17.77777778,9.444444444
2022-10-15,45,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222,18.88888889,2.222222222
